datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/31/2025 5:00:00 AM,1/31/2025 12:00:00 AM,RFC,WEST,AEP,AEPOPT,6840.265,True
1/31/2025 6:00:00 AM,1/31/2025 1:00:00 AM,RFC,WEST,AEP,AEPOPT,6659.962,True
1/31/2025 7:00:00 AM,1/31/2025 2:00:00 AM,RFC,WEST,AEP,AEPOPT,6616.333,True
1/31/2025 8:00:00 AM,1/31/2025 3:00:00 AM,RFC,WEST,AEP,AEPOPT,6632.844,True
1/31/2025 9:00:00 AM,1/31/2025 4:00:00 AM,RFC,WEST,AEP,AEPOPT,6661.986,True
1/31/2025 10:00:00 AM,1/31/2025 5:00:00 AM,RFC,WEST,AEP,AEPOPT,7004.372,True
1/31/2025 11:00:00 AM,1/31/2025 6:00:00 AM,RFC,WEST,AEP,AEPOPT,7391.132,True
1/31/2025 12:00:00 PM,1/31/2025 7:00:00 AM,RFC,WEST,AEP,AEPOPT,7588.906,True
1/31/2025 1:00:00 PM,1/31/2025 8:00:00 AM,RFC,WEST,AEP,AEPOPT,7651.848,True
1/31/2025 2:00:00 PM,1/31/2025 9:00:00 AM,RFC,WEST,AEP,AEPOPT,7693.952,True
1/31/2025 3:00:00 PM,1/31/2025 10:00:00 AM,RFC,WEST,AEP,AEPOPT,7798.892,True
1/31/2025 4:00:00 PM,1/31/2025 11:00:00 AM,RFC,WEST,AEP,AEPOPT,7706.665,True
1/31/2025 5:00:00 PM,1/31/2025 12:00:00 PM,RFC,WEST,AEP,AEPOPT,7657.945,True
1/31/2025 6:00:00 PM,1/31/2025 1:00:00 PM,RFC,WEST,AEP,AEPOPT,7559.932,True
1/31/2025 7:00:00 PM,1/31/2025 2:00:00 PM,RFC,WEST,AEP,AEPOPT,7415.627,True
1/31/2025 8:00:00 PM,1/31/2025 3:00:00 PM,RFC,WEST,AEP,AEPOPT,7282.812,True
1/31/2025 9:00:00 PM,1/31/2025 4:00:00 PM,RFC,WEST,AEP,AEPOPT,7201.223,True
1/31/2025 10:00:00 PM,1/31/2025 5:00:00 PM,RFC,WEST,AEP,AEPOPT,7269.933,True
1/31/2025 11:00:00 PM,1/31/2025 6:00:00 PM,RFC,WEST,AEP,AEPOPT,7436.556,True
