datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/31/2024 5:00:00 AM,1/31/2024 12:00:00 AM,RFC,WEST,AEP,AEPOPT,6608.137,True
1/31/2024 6:00:00 AM,1/31/2024 1:00:00 AM,RFC,WEST,AEP,AEPOPT,6471.318,True
1/31/2024 7:00:00 AM,1/31/2024 2:00:00 AM,RFC,WEST,AEP,AEPOPT,6390.172,True
1/31/2024 8:00:00 AM,1/31/2024 3:00:00 AM,RFC,WEST,AEP,AEPOPT,6435.186,True
1/31/2024 9:00:00 AM,1/31/2024 4:00:00 AM,RFC,WEST,AEP,AEPOPT,6506.504,True
1/31/2024 10:00:00 AM,1/31/2024 5:00:00 AM,RFC,WEST,AEP,AEPOPT,6839.126,True
1/31/2024 11:00:00 AM,1/31/2024 6:00:00 AM,RFC,WEST,AEP,AEPOPT,7338.284,True
1/31/2024 12:00:00 PM,1/31/2024 7:00:00 AM,RFC,WEST,AEP,AEPOPT,7516.974,True
1/31/2024 1:00:00 PM,1/31/2024 8:00:00 AM,RFC,WEST,AEP,AEPOPT,7603.506,True
1/31/2024 2:00:00 PM,1/31/2024 9:00:00 AM,RFC,WEST,AEP,AEPOPT,7610.162,True
1/31/2024 3:00:00 PM,1/31/2024 10:00:00 AM,RFC,WEST,AEP,AEPOPT,7608.477,True
1/31/2024 4:00:00 PM,1/31/2024 11:00:00 AM,RFC,WEST,AEP,AEPOPT,7556.859,True
1/31/2024 5:00:00 PM,1/31/2024 12:00:00 PM,RFC,WEST,AEP,AEPOPT,7478.968,True
1/31/2024 6:00:00 PM,1/31/2024 1:00:00 PM,RFC,WEST,AEP,AEPOPT,7478.497,True
1/31/2024 7:00:00 PM,1/31/2024 2:00:00 PM,RFC,WEST,AEP,AEPOPT,7434.600,True
1/31/2024 8:00:00 PM,1/31/2024 3:00:00 PM,RFC,WEST,AEP,AEPOPT,7329.954,True
1/31/2024 9:00:00 PM,1/31/2024 4:00:00 PM,RFC,WEST,AEP,AEPOPT,7411.714,True
1/31/2024 10:00:00 PM,1/31/2024 5:00:00 PM,RFC,WEST,AEP,AEPOPT,7580.286,True
1/31/2024 11:00:00 PM,1/31/2024 6:00:00 PM,RFC,WEST,AEP,AEPOPT,7649.386,True
2/1/2024 12:00:00 AM,1/31/2024 7:00:00 PM,RFC,WEST,AEP,AEPOPT,7607.047,True
2/1/2024 1:00:00 AM,1/31/2024 8:00:00 PM,RFC,WEST,AEP,AEPOPT,7525.677,True
2/1/2024 2:00:00 AM,1/31/2024 9:00:00 PM,RFC,WEST,AEP,AEPOPT,7308.077,True
2/1/2024 3:00:00 AM,1/31/2024 10:00:00 PM,RFC,WEST,AEP,AEPOPT,7043.958,True
2/1/2024 4:00:00 AM,1/31/2024 11:00:00 PM,RFC,WEST,AEP,AEPOPT,6790.460,True
2/1/2024 5:00:00 AM,2/1/2024 12:00:00 AM,RFC,WEST,AEP,AEPOPT,5028.151,True
2/1/2024 6:00:00 AM,2/1/2024 1:00:00 AM,RFC,WEST,AEP,AEPOPT,4811.879,True
2/1/2024 7:00:00 AM,2/1/2024 2:00:00 AM,RFC,WEST,AEP,AEPOPT,4782.852,True
2/1/2024 8:00:00 AM,2/1/2024 3:00:00 AM,RFC,WEST,AEP,AEPOPT,4756.168,True
2/1/2024 9:00:00 AM,2/1/2024 4:00:00 AM,RFC,WEST,AEP,AEPOPT,4886.681,True
2/1/2024 10:00:00 AM,2/1/2024 5:00:00 AM,RFC,WEST,AEP,AEPOPT,5227.351,True
2/1/2024 11:00:00 AM,2/1/2024 6:00:00 AM,RFC,WEST,AEP,AEPOPT,5642.452,True
2/1/2024 12:00:00 PM,2/1/2024 7:00:00 AM,RFC,WEST,AEP,AEPOPT,5942.466,True
2/1/2024 1:00:00 PM,2/1/2024 8:00:00 AM,RFC,WEST,AEP,AEPOPT,5937.092,True
2/1/2024 2:00:00 PM,2/1/2024 9:00:00 AM,RFC,WEST,AEP,AEPOPT,6007.429,True
2/1/2024 3:00:00 PM,2/1/2024 10:00:00 AM,RFC,WEST,AEP,AEPOPT,5813.063,True
2/1/2024 4:00:00 PM,2/1/2024 11:00:00 AM,RFC,WEST,AEP,AEPOPT,5655.552,True
2/1/2024 5:00:00 PM,2/1/2024 12:00:00 PM,RFC,WEST,AEP,AEPOPT,5424.765,True
